"a","b","c","discriminant","overall_score","max_abs_acf","n_sig_lags"
14,5,-134,7529,0.925,0.00232329708844454,0
14,5,-144,8089,0.925,0.00225531141082026,0
14,5,-149,8369,0.9625,0.00218512941522667,0
14,9,-107,6073,0.9625,0.00214204730735051,0
14,9,-112,6353,0.9625,0.00250316371475362,0
14,9,-115,6521,0.925,0.00225675416735201,0
14,9,-118,6689,0.9625,0.00241124554357638,0
15,7,-143,8629,0.925,0.00256897970471702,0
15,7,-144,8689,0.925,0.00254708620410277,0
15,11,-141,8581,0.9625,0.00207128000822209,0
15,11,-145,8821,0.925,0.00232994968470796,0
15,11,-147,8941,0.9625,0.00239727039685987,0
15,11,-148,9001,0.9625,0.00226035323254651,0
16,5,-114,7321,0.9625,0.00201861327611125,0
16,5,-133,8537,0.9625,0.00210361027507732,0
16,5,-148,9497,0.9625,0.00227654656119467,0
16,7,-121,7793,0.925,0.00240497094301323,0
16,7,-136,8753,0.9625,0.00243283012975511,0
16,7,-142,9137,0.925,0.00227629996714283,0
16,7,-148,9521,0.925,0.00219701849202365,0
16,7,-150,9649,0.9625,0.00208562788662562,0
17,5,-137,9341,0.9625,0.00191915002438489,0
17,5,-141,9613,0.9625,0.00241678780638414,0
17,7,-101,6917,0.925,0.00233060071481827,0
17,7,-116,7937,0.9625,0.00225999243195734,0
18,5,-118,8521,0.9625,0.00199604349553132,0
18,5,-121,8737,0.925,0.00182907975194797,0
18,5,-133,9601,0.925,0.00253176394636104,0
18,5,-141,10177,0.9625,0.00222264394455309,0
18,5,-149,10753,0.9625,0.00240225361172373,0
18,7,-62,4513,0.925,0.00234041863724937,0
18,7,-106,7681,0.925,0.00231592515201158,0
18,7,-134,9697,0.9625,0.00242060404022299,0
18,7,-142,10273,0.9625,0.00215810161472946,0
19,5,-129,9829,0.925,0.00235600419542235,0
19,5,-133,10133,0.925,0.00256411071190478,0
19,5,-139,10589,0.9625,0.00184948804556708,0
19,5,-148,11273,0.9625,0.00246578430520964,0
19,7,-123,9397,0.925,0.00225716636895375,0
19,7,-124,9473,0.925,0.00234144758821716,0
19,7,-144,10993,0.9625,0.00256929196117048,0
20,7,-129,10369,0.9625,0.00173615616703379,0
20,7,-131,10529,0.9625,0.00223529337236211,0
20,7,-143,11489,0.925,0.00224648725338873,0
20,7,-149,11969,0.925,0.00225657462046434,0
20,9,-101,8161,0.9625,0.00206616739604007,0
