a,b,c,Discriminant
38,7,-44,6737
38,7,-50,7649
38,7,-57,8713
38,7,-86,13121
39,5,-17,2677
39,5,-23,3613
39,5,-29,4549
39,5,-31,4861
39,5,-53,8293
39,5,-83,12973
39,7,-53,8317
39,7,-67,10501
39,7,-73,11437
39,7,-85,13309
39,7,-89,13933
39,7,-95,14869
40,7,-25,4049
40,7,-55,8849
40,7,-79,12689
40,9,-5,881
40,9,-8,1361
40,9,-89,14321
40,11,-10,1721
40,11,-43,7001
40,11,-46,7481
40,13,-37,6089
40,13,-40,6569
40,13,-49,8009
40,13,-55,8969
40,13,-70,11369
40,13,-76,12329
41,5,-23,3797
41,5,-26,4289
41,5,-33,5437
41,5,-56,9209
41,5,-63,10357
41,5,-89,14621
41,7,-17,2837
41,7,-23,3821
41,7,-47,7757
41,7,-53,8741
41,7,-65,10709
41,7,-86,14153
42,11,-7,1297
42,11,-37,6337
42,11,-49,8353
42,13,-11,2017
42,13,-15,2689
42,13,-71,12097
43,5,-7,1229
43,5,-12,2089
43,5,-16,2777
43,5,-79,13613
43,7,-24,4177
43,7,-25,4349
43,7,-31,5381
43,7,-45,7789
43,7,-85,14669
43,9,-5,941
43,9,-11,1973
43,9,-46,7993
43,9,-50,8681
43,9,-65,11261
43,9,-79,13669
44,5,-23,4073
44,5,-83,14633
44,7,-5,929
44,9,-16,2897
44,9,-25,4481
44,9,-41,7297
44,13,-35,6329
44,17,-14,2753
44,17,-29,5393
44,17,-38,6977
44,17,-74,13313
44,17,-80,14369
45,7,-11,2029
45,7,-13,2389
45,7,-17,3109
45,7,-67,12109
45,11,-19,3541
45,11,-23,4261
45,11,-25,4621
45,11,-37,6781
45,11,-45,8221
45,11,-79,14341
46,5,-79,14561
46,7,-10,1889
46,7,-13,2441
46,7,-46,8513
46,9,-8,1553
46,9,-17,3209
46,9,-53,9833
46,9,-65,12041
46,9,-74,13697
46,11,-4,857
46,11,-7,1409
46,11,-19,3617
46,11,-52,9689
47,5,-17,3221
47,5,-29,5477
47,5,-47,8861
47,5,-59,11117
47,7,-23,4373
47,7,-26,4937
47,7,-29,5501
47,7,-65,12269
47,7,-71,13397
47,9,-5,1021
47,9,-49,9293
47,9,-52,9857
47,9,-59,11173
48,11,-26,5113
48,13,-4,937
48,13,-67,13033
48,17,-12,2593
48,17,-69,13537
48,31,-36,7873
49,5,-4,809
49,5,-49,9629
49,9,-5,1061
49,9,-7,1453
49,9,-11,2237
49,9,-37,7333
49,9,-71,13997
49,11,-7,1493
49,11,-16,3257
49,11,-25,5021
49,11,-52,10313
50,9,-7,1481
50,9,-19,3881
50,13,-74,14969
50,17,-5,1289
50,19,-32,6761
50,23,-17,3929
50,49,-41,10601
51,5,-9,1861
51,5,-51,10429
51,5,-67,13693
51,7,-5,1069
51,7,-11,2293
51,7,-17,3517
51,7,-27,5557
51,7,-31,6373
51,7,-57,11677
51,11,-15,3181
51,11,-29,6037
51,11,-43,8893
51,11,-59,12157
52,9,-29,6113
52,11,-37,7817
52,15,-14,3137
52,15,-59,12497
52,27,-41,9257
52,29,-52,11657
52,35,-31,7673
52,35,-64,14537
53,5,-9,1933
53,5,-11,2357
53,5,-27,5749
53,5,-29,6173
53,5,-69,14653
53,7,-5,1109
53,7,-11,2381
53,7,-15,3229
53,9,-53,11317
53,11,-5,1181
53,11,-29,6269
53,11,-35,7541
53,11,-63,13477
53,11,-65,13901
55,7,-19,4229
55,7,-33,7309
55,7,-61,13469
55,9,-25,5581
55,13,-3,829
55,13,-7,1709
55,13,-21,4789
55,13,-25,5669
55,13,-49,10949
55,13,-63,14029
56,11,-8,1913
56,17,-32,7457
56,45,-7,3593
57,5,-19,4357
57,5,-29,6637
57,7,-11,2557
57,11,-27,6277
57,11,-35,8101
57,11,-39,9013
57,13,-3,853
57,13,-9,2221
57,13,-25,5869
57,13,-31,7237
57,13,-43,9973
58,19,-43,10337
58,21,-5,1601
58,27,-47,11633
59,5,-11,2621
59,5,-27,6397
59,9,-7,1733
59,9,-17,4093
59,9,-25,5981
59,11,-5,1301
59,11,-17,4133
59,11,-21,5077
59,11,-47,11213
59,13,-3,877
59,13,-15,3709
59,13,-29,7013
59,13,-35,8429
61,9,-13,3253
61,9,-37,9109
61,11,-25,6221
61,13,-7,1877
61,13,-51,12613
61,17,-7,1997
61,17,-13,3461
61,17,-31,7853
61,17,-43,10781
61,17,-55,13709
62,17,-41,10457
63,5,-11,2797
63,5,-27,6829
63,11,-5,1381
63,11,-31,7933
63,13,-5,1429
63,13,-9,2437
63,13,-25,6469
63,13,-49,12517
63,17,-7,2053
63,19,-3,1117
63,19,-21,5653
63,19,-33,8677
64,9,-32,8273
64,21,-47,12473
65,7,-23,6029
65,9,-7,1901
65,9,-29,7621
65,11,-15,4021
65,11,-35,9221
65,17,-29,7829
65,19,-29,7901
65,21,-31,8501
65,21,-43,11621
65,21,-55,14741
67,7,-13,3533
67,11,-37,10037
67,13,-19,5261
67,17,-3,1093
67,17,-31,8597
67,17,-43,11813
67,19,-31,8669
67,19,-45,12421
67,21,-11,3389
67,21,-47,13037
69,7,-25,6949
69,7,-33,9157
69,11,-35,9781
69,11,-37,10333
69,13,-3,997
69,13,-33,9277
69,13,-53,14797
69,17,-13,3877
69,17,-27,7741
69,25,-33,9733
69,25,-41,11941
71,7,-17,4877
71,7,-27,7717
71,7,-33,9421
71,9,-7,2069
71,13,-21,6133
71,13,-23,6701
71,15,-7,2213
71,15,-31,9029
71,15,-37,10733
71,17,-41,11933
73,5,-19,5573
73,7,-25,7349
73,11,-31,9173
73,13,-19,5717
73,13,-21,6301
73,15,-17,5189
73,15,-29,8693
73,15,-41,12197
73,17,-7,2333
73,17,-9,2917
73,17,-37,11093
75,13,-27,8269
75,19,-47,14461
75,29,-5,2341
75,47,-29,10909
75,49,-25,9901
77,5,-23,7109
77,13,-11,3557
77,17,-3,1213
77,17,-11,3677
77,17,-41,12917
77,23,-21,6997
77,25,-11,4013
77,25,-17,5861
77,27,-13,4733
77,31,-9,3733
