"a","b","c","discriminant","overall_score","max_abs_acf","n_sig_lags"
8,7,-144,4657,0.95,0.0069946785451199,0
8,7,-149,4817,0.95,0.00676030990382891,0
9,5,-133,4813,0.8,0.00883046915001303,1
9,5,-141,5101,0.95,0.00700609944086895,0
9,5,-144,5209,0.8,0.00907197446263095,1
9,7,-144,5233,0.95,0.00841888999001659,0
10,9,-125,5081,0.5,0.00900762965345246,1
10,9,-134,5441,0.8,0.00883547116817826,1
10,9,-139,5641,0.9,0.00846170771857331,0
10,9,-143,5801,0.95,0.00875610553784558,0
11,5,-137,6053,0.8,0.00941902360857304,1
11,5,-141,6229,0.95,0.00766855582027158,0
11,5,-143,6317,0.9,0.00753260799167541,0
11,5,-144,6361,0.9,0.00730760092989541,0
11,7,-122,5417,0.65,0.0097876401907778,1
11,7,-132,5857,0.75,0.00904868080153373,2
11,7,-138,6121,0.8,0.0096885087537901,1
11,7,-146,6473,0.75,0.00992009845499288,1
12,5,-141,6793,0.9,0.00716749799794796,0
12,5,-142,6841,0.8,0.00891975789885909,1
12,5,-149,7177,0.9,0.00710292958816617,0
12,7,-135,6529,0.8,0.00889049512159902,1
13,5,-109,5693,0.95,0.00755016529763218,0
13,5,-139,7253,0.95,0.00828883173625631,0
13,7,-127,6653,0.9,0.0083322030637571,0
13,7,-135,7069,0.7,0.0086895317702911,0
13,7,-136,7121,0.7,0.00642479428043355,0
13,7,-144,7537,0.9,0.00810322087599845,0
13,7,-145,7589,0.8,0.00888777663089672,1
14,5,-132,7417,0.95,0.0068319845345498,0
14,5,-134,7529,0.95,0.00793340103320973,0
14,5,-144,8089,0.55,0.00898923268071039,1
14,5,-149,8369,0.7,0.00852740238738954,0
14,9,-101,5737,0.95,0.00827900124808918,0
14,9,-112,6353,0.95,0.00802909836750102,0
14,9,-115,6521,0.8,0.00945340659767402,1
14,9,-121,6857,0.8,0.00942946749969303,1
15,7,-139,8389,0.95,0.0083088244849772,0
15,7,-143,8629,0.9,0.00797849963843923,0
15,7,-148,8929,0.9,0.00739232830802288,0
15,11,-142,8641,0.7,0.00658437682398038,0
15,11,-144,8761,0.95,0.00784831733819704,0
15,11,-147,8941,0.9,0.00794108466402513,0
15,11,-148,9001,0.8,0.00995540867995663,1
16,5,-114,7321,0.9,0.00853226679123915,0
16,5,-133,8537,0.5,0.0099847808514147,1
16,5,-144,9241,0.8,0.00885420654213982,1
16,5,-147,9433,0.95,0.00597572484551205,0
16,7,-106,6833,0.5,0.0094343377670761,1
16,7,-148,9521,0.95,0.00850238945094942,0
17,5,-141,9613,0.7,0.00822987061776443,0
17,5,-144,9817,0.8,0.00955534518432315,1
17,7,-101,6917,0.75,0.00993173855187768,2
17,7,-149,10181,0.7,0.00823982347973578,0
18,5,-118,8521,0.8,0.00880759622968608,1
18,5,-121,8737,0.95,0.00837612417385289,0
18,5,-141,10177,0.9,0.0082575843138622,0
18,5,-143,10321,0.95,0.00862150488736431,0
18,7,-129,9337,0.95,0.00662337915341876,0
18,7,-134,9697,0.6,0.00981593887497672,3
18,7,-135,9769,0.65,0.00771659678127202,0
18,7,-142,10273,0.8,0.00983059403976054,1
19,5,-133,10133,0.9,0.00766208411543852,0
19,5,-138,10513,0.7,0.00562774054198207,0
19,5,-139,10589,0.95,0.00829609222284721,0
19,5,-147,11197,0.9,0.00761566176703571,0
19,5,-148,11273,0.5,0.009667077807083,1
19,7,-123,9397,0.95,0.00837196468930462,0
19,7,-124,9473,0.9,0.00770105277498927,0
19,7,-144,10993,0.95,0.00836636739587472,0
19,7,-145,11069,0.9,0.00863901908332236,0
20,7,-129,10369,0.95,0.00538465852976482,0
20,7,-131,10529,0.8,0.00978888831450468,1
20,7,-141,11329,0.75,0.00953524012441315,2
20,7,-143,11489,0.95,0.00756587670060262,0
20,7,-149,11969,0.7,0.00867408571444463,0
20,7,-150,12049,0.95,0.00733809870852653,0
20,9,-100,8081,0.95,0.00715702743032114,0
20,9,-101,8161,0.55,0.00890478716734606,1
20,9,-115,9281,0.95,0.0069006264324955,0
21,5,-142,11953,0.5,0.00937022069814528,2
